Customer_ID,Name,Age,Gender,Location,Preferred_Language,Newsletter_Subscribed,Subscription_Date,Year,Month,Day
1001,Customer 1,48,Male,Houston,Spanish,No,NA,NA,NA,NA
1002,Customer 2,32,Other,San Francisco,French,Yes,2022-06-30,2022,6,30
1003,Customer 3,68,Female,San Francisco,French,Yes,2023-03-27,2023,3,27
1004,Customer 4,31,Female,San Francisco,Spanish,No,NA,NA,NA,NA
1005,Customer 5,20,Female,San Francisco,German,Yes,2022-09-09,2022,9,9
1006,Customer 6,59,Other,San Francisco,Spanish,Yes,2022-04-15,2022,4,15
1007,Customer 7,67,Female,Chicago,Spanish,No,NA,NA,NA,NA
1008,Customer 8,60,Other,Chicago,Spanish,Yes,2023-05-04,2023,5,4
1009,Customer 9,54,Female,San Francisco,Spanish,No,NA,NA,NA,NA
1010,Customer 10,69,Male,Chicago,Spanish,No,NA,NA,NA,NA
1011,Customer 11,31,Male,Houston,French,No,NA,NA,NA,NA
1012,Customer 12,42,Male,San Francisco,German,No,NA,NA,NA,NA
1013,Customer 13,43,Female,Houston,German,Yes,2022-12-10,2022,12,10
1014,Customer 14,44,Other,Chicago,Spanish,No,NA,NA,NA,NA
1015,Customer 15,22,Other,Houston,French,No,NA,NA,NA,NA
1016,Customer 16,68,Other,New York,English,No,NA,NA,NA,NA
1017,Customer 17,44,Female,San Francisco,German,No,NA,NA,NA,NA
1018,Customer 18,45,Female,Chicago,English,Yes,2023-11-21,2023,11,21
1019,Customer 19,26,Male,Los Angeles,French,Yes,2022-12-22,2022,12,22
1020,Customer 20,46,Female,San Francisco,French,Yes,2023-10-25,2023,10,25
1021,Customer 21,52,Other,Houston,German,No,NA,NA,NA,NA
1022,Customer 22,25,Male,New York,German,No,NA,NA,NA,NA
1023,Customer 23,43,Female,New York,German,Yes,2022-02-27,2022,2,27
1024,Customer 24,24,Other,Chicago,English,Yes,2022-01-17,2022,1,17
1025,Customer 25,59,Male,San Francisco,German,Yes,2022-02-01,2022,2,1
1026,Customer 26,26,Other,Los Angeles,English,No,NA,NA,NA,NA
1027,Customer 27,36,Other,San Francisco,French,No,NA,NA,NA,NA
1028,Customer 28,53,Other,San Francisco,French,Yes,2022-02-10,2022,2,10
1029,Customer 29,31,Male,San Francisco,English,Yes,2023-01-27,2023,1,27
1030,Customer 30,34,Male,New York,Spanish,Yes,2023-10-13,2023,10,13
1031,Customer 31,60,Other,Los Angeles,Spanish,Yes,2023-08-02,2023,8,2
1032,Customer 32,56,Female,New York,Spanish,Yes,2022-02-18,2022,2,18
1033,Customer 33,70,Other,Chicago,French,No,NA,NA,NA,NA
1034,Customer 34,29,Male,Houston,French,No,NA,NA,NA,NA
1035,Customer 35,32,Male,New York,English,Yes,2023-04-08,2023,4,8
1036,Customer 36,49,Male,Chicago,German,Yes,2022-03-11,2022,3,11
1037,Customer 37,59,Male,New York,Spanish,Yes,2023-02-22,2023,2,22
1038,Customer 38,62,Male,Chicago,Spanish,Yes,2023-03-21,2023,3,21
1039,Customer 39,24,Other,Los Angeles,French,No,NA,NA,NA,NA
1040,Customer 40,26,Other,Los Angeles,English,Yes,2023-09-25,2023,9,25
1041,Customer 41,58,Other,San Francisco,French,No,NA,NA,NA,NA
1042,Customer 42,27,Other,New York,English,Yes,2023-03-01,2023,3,1
1043,Customer 43,40,Female,San Francisco,Spanish,Yes,2023-03-26,2023,3,26
1044,Customer 44,44,Other,Los Angeles,Spanish,No,NA,NA,NA,NA
1045,Customer 45,70,Other,Houston,Spanish,No,NA,NA,NA,NA
1046,Customer 46,24,Male,San Francisco,French,Yes,2022-07-13,2022,7,13
1047,Customer 47,70,Male,New York,French,No,NA,NA,NA,NA
1048,Customer 48,44,Female,Houston,French,Yes,2022-11-07,2022,11,7
1049,Customer 49,49,Male,San Francisco,French,Yes,2022-06-08,2022,6,8
1050,Customer 50,55,Other,Houston,English,No,NA,NA,NA,NA
1051,Customer 51,42,Female,Chicago,French,Yes,2023-01-18,2023,1,18
1052,Customer 52,51,Male,Houston,English,Yes,2023-02-06,2023,2,6
1053,Customer 53,46,Other,Chicago,French,No,NA,NA,NA,NA
1054,Customer 54,22,Male,Chicago,Spanish,No,NA,NA,NA,NA
1055,Customer 55,25,Male,Chicago,French,Yes,2022-11-21,2022,11,21
1056,Customer 56,29,Other,Chicago,Spanish,Yes,2023-07-02,2023,7,2
1057,Customer 57,30,Other,Houston,English,No,NA,NA,NA,NA
1058,Customer 58,35,Female,Los Angeles,German,Yes,2022-06-02,2022,6,2
1059,Customer 59,50,Male,San Francisco,Spanish,Yes,2023-07-13,2023,7,13
1060,Customer 60,44,Other,New York,Spanish,Yes,2023-06-21,2023,6,21
1061,Customer 61,42,Other,Houston,French,No,NA,NA,NA,NA
1062,Customer 62,55,Female,New York,German,No,NA,NA,NA,NA
1063,Customer 63,38,Other,New York,German,No,NA,NA,NA,NA
1064,Customer 64,32,Other,Los Angeles,Spanish,Yes,2023-10-08,2023,10,8
1065,Customer 65,58,Other,San Francisco,French,Yes,2023-09-13,2023,9,13
1066,Customer 66,64,Male,Chicago,English,No,NA,NA,NA,NA
1067,Customer 67,43,Female,Houston,German,Yes,2023-01-13,2023,1,13
1068,Customer 68,48,Other,New York,French,No,NA,NA,NA,NA
1069,Customer 69,33,Other,San Francisco,English,Yes,2023-10-16,2023,10,16
1070,Customer 70,69,Female,Los Angeles,French,No,NA,NA,NA,NA
1071,Customer 71,47,Other,Houston,English,Yes,2023-10-05,2023,10,5
1072,Customer 72,23,Male,New York,Spanish,Yes,2022-11-10,2022,11,10
1073,Customer 73,60,Male,Houston,French,Yes,2022-08-07,2022,8,7
1074,Customer 74,25,Other,Chicago,German,No,NA,NA,NA,NA
1075,Customer 75,39,Female,San Francisco,English,No,NA,NA,NA,NA
1076,Customer 76,39,Female,San Francisco,German,Yes,2023-02-04,2023,2,4
1077,Customer 77,56,Male,Los Angeles,Spanish,No,NA,NA,NA,NA
1078,Customer 78,48,Male,Chicago,French,Yes,2022-02-26,2022,2,26
1079,Customer 79,65,Male,New York,German,Yes,2023-06-28,2023,6,28
1080,Customer 80,34,Other,Houston,Spanish,Yes,2022-03-27,2022,3,27
1081,Customer 81,67,Male,Houston,English,No,NA,NA,NA,NA
1082,Customer 82,66,Male,New York,English,Yes,2023-12-30,2023,12,30
1083,Customer 83,51,Other,New York,Spanish,No,NA,NA,NA,NA
1084,Customer 84,21,Female,Houston,Spanish,No,NA,NA,NA,NA
1085,Customer 85,30,Other,Chicago,French,No,NA,NA,NA,NA
1086,Customer 86,22,Female,Houston,German,No,NA,NA,NA,NA
1087,Customer 87,68,Other,Chicago,German,No,NA,NA,NA,NA
1088,Customer 88,42,Other,Los Angeles,English,No,NA,NA,NA,NA
1089,Customer 89,69,Other,Houston,French,No,NA,NA,NA,NA
1090,Customer 90,39,Male,New York,English,No,NA,NA,NA,NA
1091,Customer 91,42,Female,Los Angeles,French,Yes,2022-01-27,2022,1,27
1092,Customer 92,49,Other,New York,Spanish,No,NA,NA,NA,NA
1093,Customer 93,63,Male,San Francisco,German,No,NA,NA,NA,NA
1094,Customer 94,42,Other,San Francisco,German,Yes,2023-11-19,2023,11,19
1095,Customer 95,40,Other,New York,English,No,NA,NA,NA,NA
1096,Customer 96,52,Other,New York,German,No,NA,NA,NA,NA
1097,Customer 97,57,Male,Houston,Spanish,No,NA,NA,NA,NA
1098,Customer 98,65,Other,Los Angeles,Spanish,No,NA,NA,NA,NA
1099,Customer 99,47,Male,Los Angeles,German,No,NA,NA,NA,NA
1100,Customer 100,29,Other,New York,French,Yes,2023-03-29,2023,3,29
1101,Customer 101,48,Other,Houston,German,No,NA,NA,NA,NA
1102,Customer 102,63,Other,Los Angeles,English,No,NA,NA,NA,NA
1103,Customer 103,47,Male,Houston,French,Yes,2023-07-27,2023,7,27
