Transaction_ID,Customer_ID,Date,Year,Month,Day,Product_ID,Quantity,Total_Amount,Promo_Code,Store_Location
3001,1813,4/14/2023,2023,4,14,2024,7,685.37,HOLIDAY,Online
3002,3032,6/13/2022,2022,6,13,2069,7,2246.86,NA,Physical Store
3003,1780,2/15/2023,2023,2,15,2017,6,1601.22,NA,Online
3004,2908,1/26/2023,2023,1,26,2099,5,2225.85,FREESHIP,Mobile App
3005,2322,11/9/2023,2023,11,9,2017,9,2401.83,FREESHIP,Physical Store
3006,1666,4/13/2023,2023,4,13,2088,7,3007.06,FREESHIP,Mobile App
3007,3213,12/10/2023,2023,12,10,2082,10,975.1,FREESHIP,Online
3008,1100,6/25/2023,2023,6,25,2096,5,2468.9,HOLIDAY,Mobile App
3009,1491,8/14/2022,2022,8,14,2034,4,222.6,NA,Mobile App
3010,1171,9/4/2022,2022,9,4,2045,3,1043.16,SAVE10,Online
3011,2859,7/1/2022,2022,7,1,2045,1,347.72,SAVE10,Mobile App
3012,2204,5/18/2023,2023,5,18,2092,4,706.76,FREESHIP,Mobile App
3013,3033,11/20/2022,2022,11,20,2064,1,388.3,HOLIDAY,Online
3014,2327,11/2/2023,2023,11,2,2073,1,217.2,SAVE10,Physical Store
3015,2328,4/25/2023,2023,4,25,2053,3,1214.61,FREESHIP,Physical Store
3016,3047,3/3/2022,2022,3,3,2007,9,716.04,FREESHIP,Physical Store
3017,1646,3/12/2022,2022,3,12,2063,9,438.3,SAVE10,Online
3018,3162,2/20/2022,2022,2,20,2092,5,883.45,NA,Physical Store
3019,2138,10/18/2022,2022,10,18,2082,6,585.06,FREESHIP,Online
3020,1021,1/27/2022,2022,1,27,2089,8,576.4,FREESHIP,Mobile App
3021,1706,12/24/2022,2022,12,24,2054,10,370,NA,Physical Store
3022,1182,1/25/2022,2022,1,25,2084,2,988.82,HOLIDAY,Mobile App
3023,3087,6/12/2023,2023,6,12,2040,6,555.36,HOLIDAY,Online
3024,2816,2/4/2023,2023,2,4,2080,3,397.02,NA,Online
3025,2438,8/24/2022,2022,8,24,2062,3,245.28,SAVE10,Online
3026,2339,7/23/2023,2023,7,23,2044,6,1220.7,FREESHIP,Mobile App
3027,3138,12/23/2022,2022,12,23,2086,7,3212.72,SAVE10,Physical Store
